Artists,Song
"Hardwell, Amba Shepherd",Apollo
"R3HAB, Mike Williams",Lullaby
Mike Williams,Melody (Tip Of My Tongue)
"Cash Cash, Bebe Rexha",Take Me Home
"Dirty South, Alesso ",City of Dreams
"The Chainsmokers, Great Good Fine Ok",Let You Go 
"Armin Van Buuren, Trevor Guthrie",This is What It Feels Like
"Axwell, Ingrosso ",More Than You Know 
"ARTY, April Bender",Sunrise
"Clean Bandit, Demi Lovato",Solo
"Tritonal, Steph Jones, Madison Mars",Blackout (Remix)
"The Chainsmokers, Coldplay",Something Just Like This
"Tom Ferro, Gil Sanders",Overdrive
"XYLO, Win and Woo",L.A. Love Song (Remix)
"MYNGA, Hechmann, Grant Genske ",I'm Done
"Tori Kelly, Panic City",Should've Been Us (Remix)
Don Diablo,Cutting Shapes
"Sultan + Shepherd, Quilla ",Walls
"Lost Frequencies, James Blunt",Melody
"Lost Frequencies, Janieck Devy",Reality
2Elements,Tell Me
"Tiesto, Stargate, Aloe Blacc",Carry You Home
"Major Lazer, Nyla, Fuse ODG",Light It Up (Remix)
"W&W, Hardwell, Lil Jon",Live the Night
"Don Diablo, Arizona",Take Her Place
Don Diablo,Anthem
"Sultan + Shepherd, Nadia Ali, IRO",Almost Home
"Lost Frequencies, Axel Ehnstrom, Sultan + Shepherd",All or Nothing (Remix)
Kyo,Crashing
"Faul & Wad Ad, Avalanche City, KLYMVX",I Need You (Remix)
"John Dahlback, Melanie Fontana",Catch Me If You Can
"M22, Medina",First Time
"Loud Luxury, Brando",Body
"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",So Far Away 
Galantis,No Money
"Party Favor, Georgia Ku, Landis",In My Head (Remix)
"Hapoly, Janis, Tristan Deniet",Symphony
Noize Generation,Believer
"Yves V, Matthew Hill, Betsy Blue",Stay
Klaas,Big Words
"SLANDER, Gammer, Eric Leva",Superhuman (Remix)
"Dzeko, TOKA-J, WAVES",Heart Speak (Remix)
Firebeatz,Remember Who You Are
Lost Frequencies,Are You With Me
"Calvin Harris, Tinie Tempah",Drinking from the Bottle
DEV,In The Dark
"Afrojack, Spree Wilson",The Spark
"Frank Pole, Greyson Chance",Anything
Mike Posner,Please Don't Go
"Cobra Starship, Sabi",You Make Me Feel
will.i.am,Hall of Fame
"Calvin Harris, Ellie Goulding",I Need Your Love
"Calvin Harris, Florence + The Machine",Spectrum (Say My Name)
Coldplay,Every Teardrop is a Waterfall
Coldplay,Charlie Brown
Avicii,Liar Liar
"Major Lazer, Mystic, Bruno Mars, Tyga",Bubble Butt
Krewella,Live for the Night
"B.o.B, 2 Chainz",Headband
"Nicky Romero, Vicetone, When We Are Wild",Let Me Feel
"Hardwell, Mitch Crown",Call Me A Spaceman
"David Guetta, Usher",Without You
"Zedd, Hayley Williams",Stay the Night
"David Guetta, Flo Rida, Nicki Minaj",Where Them Girls At
"DJ Snake, AlunaGeorge",You Know You Like It
Avicii,Wake Me Up
"Calvin Harris, Kelis",Bounce
Avicii,Broken Arrows
OneRepublic,Counting Stars
Imagine Dragons,Demons
Kanye West,New Slaves
"INNA, Flo Rida",Club Rocker
"DJ Snake, Lil Jon",Turn Down For What
"Chris Brown, Lil Wayne, French Montana",Loyal (East Coast Version)
Coldplay,A Sky Full of Stars
"Iamsu!, Wiz Khalifa",Goin' Up
"The Cataracs, DEV",Sunrise
"Jeremih, YG",Don't Tell 'Em
Rihanna,Disturbia
"Kanye West, JAY Z, Big Sean",Clique
Milky Way,Stolen Dance
"Kaskade, Mindy Gledhill",Eyes
"Steve Aoki, Moxie Raia",I Love It When You Cry (Moxoki)
"Steve Aoki, Diplo, Deorro, Steve Bays",Freak
"Zedd, Ryan Tedder",Lost At Sea
Otto Knows,Next To Me
"Felix Jaehn, Jasmine Thompson",Ain't Nobody (Loves Me Better)
Avicii,For a Better Day
"Felix Jaehn, Lost Frequencies, Linying",Eagle Eyes
"OneRepublic, Arty",I Lived (Remix)
"Naughty Boy, Beyonce, Arrow Benjamin",Runnin' (Lose It All)
"Axwell, Ingrosso ",Sun Is Shining
"X Ambassadors, Astrolith",Renegades (Remix)
"Gorgon City, ROMANS",Saving My Life
"Dawin, Silento",Dessert (Remix) 
"Alesso, Tove Lo",Heroes (we could be)
"The Jane Doze, Curtains",Lights Go Down
"Tiesto, KSHMR, VASSY",Secrets
"Faul & Wad Ad, PNAU",Changes
iLoveMemphis,Hit the Quan
"Mike Posner, Seeb",I Took a Pill in Ibiza (Remix)
J. Cole,A Tale of 2 Citiez
J. Cole,G.O.M.D. 
"DJ Antoine, The Beat Shakers",Ma cherie
"Tinashe, Iggy Azalea",All Hands on Deck (Remix)
"Icona Pop, Cash Cash",All Night (Lyrics)
"Maddix, Newtown Knife Gang",Anthems
"Wynter Gordon, Fareoh",Buy My Love (Remix)
"Tritonal, Noisestorm",Anchor (Remix)
"OneRepublic, Timbaland, FROIDZ, Bodybangers",Apologize (Remix)
"Kid Ink, DeJ Loaf",Be Real
"Flume, Kai",Never Be Like You
Vance Joy,Fire and the Flood
The Wombats,Greek Tragedy
"Jonas Blue, Dakota",Fast Car
"Life of Dillon, Lost Kings",Dreams (Remix)
"Jonathan Thulin, Rapture Ruckus",Jekyll And Hyde
"Paul Oakenfold, Mia Dahli, Red Hot Chili Peppers",Otherside (Remix)
Jon Bellion,All Time Low
"Lil Dicky, Fetty Wap, Rich Homie Quan",$ave Dat Money
Kiiara,Gold
"Clean Bandit, Jess Glynne",Rather Be
Jekk,Five O'clock
"The Chainsmokers, Daya",Don't Let Me Down
"Hermitude, Big K.R.I.T., Mataya, TAPZ",The Buzz (Remix)
"Oh Honey, Dzeko, TORRES",Be Okay (Remix)
"Echosmith, Lost Kings",Bright (Remix)
blackbear,Dirty Laundry
"The Colourist, The Chainsmokers",Fix This (Remix)
"Calvin Harris, Rihanna",This is What You Came For
"Yo Gotti, E-40",Law
"Vicetone, Kat Nestel",Angels
"American Authors, Just A Gent",Best Day of My Life (Remix)
"GOLDHOUSE, Pierce Fulton",FeelGood (Remix)
"Max Styler, DEV",Aftershock
Avicii,Pure Grinding
"Audien, Parson James",Insomnia
"Andrew Rayel, Jonathan Mendelsohn",One In A Million
"Felix Cartal, Chloe Angelides",Ready for Love
Life of Dillon ,Toys
Life of Dillon,Overload
Conrad Sewell,Remind Me(Remix)
"Jidenna, Roman GianArthur",Classic Man
"DJ Snake, Justin Bieber",Let Me Love You
"The Chainsmokers, Phoebe Ryan",All We Know
ENVY,Tidal Wave
Vita Chambers,Fix You
"Afrojack, Wrabel",Ten Feet Tall
"Lucky Rose, Yan Etchevary",The Way You Want Me
"Major Lazer, Justin Bieber, M0",Cold Water
morgxn,home
FRENSHIP,Kids
"Bisbetic, Jason Walker",Canyons
Hillary Duff,My Kind
Milky Chance,Stolen Dance
"Jupiter Project, Adam Trigger",You & Me
"Nemanja Kostic, James Stewart",The Shape That I'm In
"Gary Jules, Michael Andrews",Mad World
Marshmello,Alone
Terror Jr,3 Strikes
"Cato Anaya, Natalia Bautistia",Someone 
Five Knives,Wild Ones
Fitz and the Tantrums,HandClap
Life of Dillon,Bluebirds
DNCE,Truthfully
Meghan Trainor,Me Too
X Ambassadors ,Unsteady 
"Steve Aoki, Boehm, Walk The Moon",Back 2 U
"Steve Aoki, Autoerotique",ILYSM
"Steve Aoki, Chris Lake, Tujamo, Kid Ink",Delirious (Boneless)
"Blasterjaxx, Dbstf, Ryder, Hardwell",Beautiful World 
"FRENSHIP, Emily Warren",Capsize
Ed Sheeran,Castle on the Hill
Quinn XCII,Make Time
The Lumineers,Ophelia
Quinn XCII,Another Day in Paradise
Quinn XCII,New Wave
"Autograf, Anish Sood",Metaphysical (Remix)
Portugal. The Man,Feel It Still
"Quinn XCII, Chelsea Cutler",Flare Guns
Quinn XCII,Straightjacket
Charlie Puth,Dangerously
Snow Patrol,Chasing Cars
"Mura Masa, A$AP Rocky",Love$ick
"Alina Baraz, Khalid, Tim Gunter",Electric (Remix)
Rae Sremmurd,Up Like Trump
"Glenn Morrison, Islove",Goodbye (Remix)
Jeremy Zucker,Icarus
Sultan + Shepherd ,All These Roads
"TYMEN, Keanu Silva",Love Inside the Lush (Remix)
"PLS&TY, Cosmos & Creature",Good Vibes
"Hudson Thames, Hailee Steinfeld, Dawin",How I Want Ya (Remix)
"Kygo, Maty Noyes",Stay
"Sheppard, D-wayne",Geronimo (Lyrics)
"The Weeknd, Kygo",Often (Remix)
"Alan Walker, Luke Christopher",Faded (Remix)
"Swedish House Mafia, Tinie Tempah",Miami 2 Ibiza
Rae Sremmurd,Come Get Her
"Rae Sremmurd, Nicki Minaj, Young Thug",Throw Sum Mo
"Maggie Lindemann, CADE, Cheat Codes",Pretty Girl (Remix)
"Jonas Blue, William Singe",Mama
TYSM,Honeymoon Phase
Maj ,Motivation
Lucky Charmes,Riot
"RAC, Matthew Koma, Viceroy",Cheap Sunglasses (Remix)
"ACADEMY, Quinn XCII, Evan Gartner",Sweet Talk (Remix)
"Deorro, Erin McCarley",I Can Be Somebody
"Max Elto, Mako",Shadow of the Sun (Remix) 
Belly,P.O.P.
"Didrick, Amanda Fondell",Smoke
"Markus Schulz, Delacey, Morgan Page",Destiny (Remix)
"ROZES, Young Bombs",Burn Wild (Remix)
Michael Canitrot,Young Forever
"Lily Wood and The Prick, Robin Schulz ",Prayer in C
Klingande,Jubel
"Post Malone, 21 Savage",rockstar
"Jack Novak, blackbear",If It Kills Me
"Kav Verhouzer, Cooperated Souls",Good When We're Together
"Warr!or, Eloy Smit",All About You
"Neon Trees, Kat Krazy",Sleeping With A Friend (Remix)
"Oliver Heldens, Shaun Frank, Delaney Jane, Win & Woo, Kiso",Shades of Gray
"Sigala, Bryn Christopher",Sweet Lovin'
"Corey Ellis, Tony Young",Let's Go (Remix)
"Olympic Ayres, Arston",Magic (Remix)
Us The Duo,Slow Down Time
"Esha, Pope",Let's Be Together
Checo,Contradictions
"Dzeko & Torres, Delaney Jane, Tiesto",L'Amour Toujours (Remix)
"Tiesto, KSHMR, Talay Riley",Harder
"Kygo, Selena Gomez",It Ain't Me
Maroon 5,What Lovers Do
"Gucci Mane, Migos",I Get The Bag
"Yeah Yeah Yeahs, A-Trak",Heads Will Roll
Chris Lago,Lock Up The Rainbow
PLVTINUM,Drunk Enough to Say That I Love You
"Thomas Jack, Moe",Rivers (Remix)
"Adam Fine, Andrea Obeid",My House
"Dada Life, Young Bombs",One Last Night On Earth (Remix)
"Mike Williams, Dastic",You & I
Ashworth,Been a While
"TroyBoi, Diplo, Nina Sky",Afterhours
"Hailee Steinfeld, Grey, Zedd",Starving
"Sterling Fox, Almond and Samme",Freak Caroline (Remix)
"NONONO, The Jane Doze",Pumpin Blood (Remix)
Treh LaMonte,I'm Finessin
"Joyzu, Olivia Reid",Hear You Say 
"Piero, ALIUS",When We Were Young
"Dresses, Cheat Codes",Please Don't Go (Remix)
Comet Blue,Spaceship
"Migos, Nicki Minaj, Cardi B",Motorsport
"Triarchy, J.Lauryn",Coconuts
"Gostan, The Ready Set",Days Run Out
Of Monsters and Men,Little Talks
Lostboycrow,Verona
"Niykee Heaton, House of Chords",Infinity (Remix)
"Sam Feldt, Kimberly Anne, EDX",Show Me Love (Remix)
FRND,Friend
"Vicetone, Cosmos & Creature, Two Friends",Bright Side (Remix)
"Bortharm, Cara Hughes",Breathin'
Martin Jensen,Solo Dance
"Sterkol, Sjostrom, Bertrand Lacoste",You & I
"Mowe, Daniel Nitt, Adventurer",Lovers Friends (Remix)
"Betty Who, White Panda",Human Touch (Remix)
"Tritonal, Cash Cash",Untouchable
"SNBRN, Kerli, Prince Fox",Raindrops (Remix)
"Migos, Drake",Walk It Talk It
"Martin Garrix, Dua Lipa",Scared to Be Lonely
Fancy Cars,Fun
J. Cole,ATM
J. Cole,Motiv8
XXXTENTACION,SAD! 
Vic Mensa,Liquor Locker
"Boye, Sigvardt",Give Me
"Mike Perry, SHY Martin",The Ocean
Rich The Kid,Plug Walk
Sons of Maria,Take It to the Beat
A$AP Rocky,Goldie
Prince Fox,The Middle
"Vic Mensa, G-Eazy",Reverse
"A$AP Rocky, Skepta",Praise The Lord (Da Shine)
"Uplink, Liljaa",Scars
Kid Cudi,Day 'N' Nite 
"Metro Boomin, Offset",Ric Flair Drip 
"21 Savage, Offset, Metro Boomin, Travis Scott",Ghostface Killers
"OneRepublic, Alex Ross",Kids (Remix)
GSPR,With You
"DJ Licious, Zonderling",I Hear You Calling (Remix)
Crankdat,Reasons To Run
"Burak Yeter, Ryan Riback, James Bluck",GO 2.0 (Remix)
"Elephante, Matluck",Come Back For You
"David Guetta, Anne-Marie",Don't Leave Me Alone
"Sage the Gemini, James Hype",Now & Later (Remix)
"Luca Schreiner, Loe",Out of My Mind
"Amir Afargan, May-Britt Scheffer",Upside Down
"David Guetta, Showtek",Your Love
"Sia, Diplo, Labrinth",Thunderclouds
"Don Diablo, Alex Clare",Heaven To Me
Mike Williams,The Beat
Syn Cole,Getaway
"Dennis Lloyd, Wankelmut",Nevermind (Remix)
"Steve Aoki, Lil Yachty, AJR",Pretender
Brynny,Thinking Too Much
"Cheat Codes, Fetty Wap, CVBZ, Anki",Feels Great
Merk & Kremont,Turn It Around
"Goodluck, NEBBRA",Saved By the Summer (Remix)
Gianni Blu,Right Amount of Wrong
"Humain, Jex",My Way
"Martin Garrix, Bonn",High On Life
"Sander van Doorn, MOTi",Lost
Caskey,Club House
"WildVibes, Arild Aas, Martin Miller",Far From You 
"Kygo, Ellie Goulding, Gryffin",First Time (Remix)
"Croatia Squad, Lika Morgan, Kharmelo",Make Your Move (Remix)
"Skan, Drama B",Energy
"Sia, Diplo, Labrinth",Genius
"Adrenalize, AND",Get Up
"Janieck, Alle Farben",Does It Matter (Remix)
"K-391, Alan Walker, Julie Bergan, SEUNGRI, Ahrix",Ignite (Remix)
"Yves V, Florian Picasso",Here With You
"Blasterjaxx, Bassjackers",Switch
Blinders,Melt (Tasty)
"Halsey, Big Sean, Stefflon Don, CID",Alone (Remix)
Dynoro,Dreaming
Selena Gomez,Slow Down
"A$AP Mob, Juicy J",Yamborghini High
NIVIRO,The Apocalypse
"Tritonal, Riley Clemmons, Zack Martino",Out My Mind (Lyrics)
Tiesto,Red Lights
"The Chainsmokers, Kelsea Ballerini",This Feeling
CALVO,In Love With You
Plain White T's,Light Up The Room
Klaas,Close to You
"Charming Horses, Jona Bird, LIZOT",One Step Ahead (Remix)
"Mike Candys, Evelyn, Braaten, Chrit Leaf",Never Walk Alone (Remix)
Quavo,WORKIN ME
"Pete Kingsman, Bryan Finlay",Out of the Darkness
"Lulleaux, Duncan de Moor, Hibell",Fade Into The Sun (Remix)
"Sam Bruno, Rockie Fresh, Sophie Francis",So What (Remix)
"Madison Mars, Sanjana Ghosh",We Are the Night
"Marshmello, Khalid, Tiesto",Silence
"Like Mike, Jeff June",Memories
"Rain Man, Krysta Youngs, T-Mass",Habit (Remix)
"Steve Aoki, Jim Adkins",Golden Days
Howie Day,Collide
Tyler Farr,Withdrawals
"All That Glitters, Chaz Mason",I'll Wait For You
"Krunk!, Miljay, Ido",Exhale
"STVCKS, Dim Wilder, Alex Hackett",Different Place
Brynny,Don't Say You Love Me
"Over Easy, Lydia Kelly, YON",Be Somebody
"Starley, MOTi",Love is Love (Remix)
"LIONE, Heather Sommer, William Black ",Glimmer (Remix)
"Snugs, Kvmo",Radio Silence (Remix)
"Tyron Hapi, Mimoza, Kore-G",Anyway (Remix)
"Kosling, LUX",Believe
"6ix9ine, Tory Lanez",KIKA
"Martin Garrix, Khalid, Syn Cole",Ocean (Remix)
"Krimsonn, Revealed Recordings",Hold Me Close
Sheck Wes,Mo Bamba
"Meek Mill, Drake",Going Bad
"Jonas Blue, Jack & Jack",Rise
"Lost Frequencies, Zonderling",Crazy
"Kygo, Miguel",Remind Me to Forget
"Sam Feldt, Zonderling",Sensational (Remix)
"Robin Schulz, Erika Sirola, Lucas & Steve ",Speechless (Remix)
"Sander van Doorn, Belle Humble",No Words
"Patrick Moreno, Sage, Revealed Recordings",Show You Again 
"Breathe Carolina, Dropgun, Kaleena Zanders",Sweet Dreams
"Dzouns & Dzeskia, Matto",Parachute (Remix)
"Nytrix, Uprize & Serion",Under Electric Skies (Remix)
"Alpharock, Jimmy Clash, Heleen",Miracle
"Firebeatz, Vertel",Till The Sun Comes Up
"Breathe Carolina, Dropgun, Kaleena Zanders",Rhythm Is A Dancer
"Holl & Rush, Mike James, Robby East, Castion",Believe It (Remix)
"Charlie Puth, Keihani, Loud Luxury",Done For Me (Remix)
"Adrian Lux, Christofi",Teenage Crime (Remix)
"Will Sparks, Amba Shepherd, Tyron Hapi",Guilty as Sin 
"Tujamo, Karen Harding",With U
"Banghook, Kuka",Mind 
"JETFIRE, 22 Bullets",Follow Me
"Cash Cash, Nikki Vianna, Dannic",Jewel (Remix)
JYYE,Somewhere Else
"WildVibes, Arild Aas",Flashing Lights
,All For Love (Remix)
"Ocean Park Standoff, Seeb",Lost Boys
Jayli,Calling
"Hogland, Lucas Estrada, G Curtis",The Edge
"Andrew Rayel, Lola Blanc",Horizon
"David Guetta, Brooks, Loote",Better When You're Gone
"MOTi, JGUAR",Friday
"XO Cupid, Maya Avedis",True Colors 
"Gil Sanders, Maria Marcus",Anonymous
"Charming Horses, MPH",Find You 
"Neon Dreams, Kardinal Offishall",Marching Bands (Remix)
"Dzeko, F4ST",Blue
"Oliver Moldan, Jasmine Ash, Stadiumx",High & Low (Remix)
"Ryan Riback, REED, Sunset City",Papercuts
"NOTD, Tove Styrke, Rain or Shine",Been There Done That (Remix)
"Vicetone, Meron Ryan",Walk Thru Fire
"Venemy, Divercity",Luv
"John De Sohn, Wahlstedt",Go to Sleep (Remix)
"Corrupt, Karra, Teddy Rose",My Type (Remix)
"Hanne Mjoen, RetroVision",Sounds Good To Me (Remix)
ARMAN,Gimme Gimme
"Dario Rodriguez, Mark Bale, Albeneir, POINT BLVNK",Lit Like Fire (Remix)
"Vicetone, Cozi Zuehlsdorff",Nevada
Lil Nas X,Old Town Road
"Two Friends, Kevin Writer",While We're Dreaming
"Vicetone, Haley Reinhart",Something Strange
"Gryffin, Elley Duhe",Tie Me Down 
"Hazers, Joe Stone",Drive (Remix)
XxxTENTACION,Look at Me!
"Two Friends, James Delaney, Clarx",Emily (Remix)
Klaas,Figure Out
"Alec Chambers, IMKK",Torn (Remix)
Mike Perry ,Runaway
Hellberg,Hey Mama
"Carda, Maddy Tab, Brynny",Never Let You Go (Remix)
"Oliver Nelson, Guy Sebastian, Steerner ",Feel Alright (Remix)
"VAVO, Caroline Kole",Right Now
"Kap Slap, Shaylen, Wild Cards",Hangover Love (Remix)
"Kodak Black, Offset, Travis Scott",ZEZE
YBN Cordae,Kung Fu
Billie Ellish,my strange addiction
"Borgeous, Morgan St. Jean",Famous 
"Metro Boomin, Gunna",Space Cadet
Khalid,Talk
Wahlstedt,So Good
J3NK!NS,I'm Sorry
"Disco Killerz, Delaney Jane, Sarah Charness",Beautiful Life 
"Nikki Vianna, Denis First",Done (Remix)
"Feenixpaul, Sheco, Georgi Kay",Dreams
"K-391, Wyclef Jean, Mark Shakedown",Mystery (Remix)
"Kalide, Outr3ach, Evix, Bianca, Nick Summerfield ",December 
XxxTENTACION,going down!
Flipp Dinero,Leave Me Alone
"SLVR, Matt Strike",Lockdown (Remix)
"Anish Sood, Jonita Gandhi",Castles
"Bassjackers, Lucas & Steve, Caroline Pennell",These Heights
BLR,Wildfire
"Aaron Lindt, Kyle Zeman, Lucas Butler",Collide (Remix)
Syn Cole,Who You Are
"Mustard, Migos",Pure Water
"Vicetone, Daisy Guttridge",Waiting
"Nipri, Dirty Rush, Gregor Es, A. Lux",Tide
"Jay Rock, J. Cole",OSOM 
"Maciel, Madro, PRYVT RYN",Over You 
lovelytheband,broken
"Dzeko, Jonas Hahn, Richard Craker",Sleepless
"Impulse, Revealed Recordings, Josh Deamer",Stay Until The Sunrise
Disco Fries,Turning Corners
"Angemi, Grimix, Fulmo, Ido Dankner",Fire (Remix)
Kaskade,On Your Mind
ElloXo,Treat Me Right
"Dzeko, Riggi & Piros, Veronica",Heaven  
"Tiesto, Dzeko, Lena Leon",Halfway There
XYSM,Hold You (Away)
"M0, Diplo, Don Diablo",Sun In Our Eyes (Remix)
The Throttle,Wanderlust
"Zookeper, Goshfather",For Real
"Anish Sood, Andy Wilson-Taylor",Going Under
OX7GEN,We Live in Shadows
"Pascal & Pearce, Johnny Apple",Lose Control 
Dmfb,Play It Right
The Him,Nothing On Us
"Nicky Romero, Deniz Koyu, Walk Off the Earth",Paradise
"Sagan, Robert Falcon",Gravity
The Him,Look At Us Now
"Hardwell, Wildstylez, KiFi",Shine A Light
"Giorgio Moroder, Britney Spears, Hibell",Tom's Diner (Remix)
"Calvin Harris, Rag'n'Bone Man, Audien",Giant (Remix)
"Lookas, Cal, TwoWorldsApart, NGTY",Deep Breaths (Remix)
"GYTLAZ, Nix K",Symphony
"DJ D-Sol, Katt Rockell, Dzeko",Feel Alive (Remix)
"Dzeko & Torres, Maestro Harrell, Delora",For You 
Dropgun,Somebody
"Lissa Lo, Patrick Dunn, Robby Burke",All I Need (Remix)
"Malik Bash, Harley Bird ",Hold On
"Miles Away, Marcus James, Fahjah",Together Alone (Remix)
"Syence, Kait Weston",Give Me A Little
"Afrojack, Chasner",Own Game
"Drake, Rick Ross",Money In The Grave
Drake ,November 18th
"Sick Individuals, Jason Walker",Writing On The Wall
"Koni, Devan",Save Us (Remix)
Sultan & Shepherd,Louder
"Mr. Probz, R3HAB",Space For Two (Remix)
Loote,Wish I Never Met You
"BRKLYN, Zack Martino",Good Vibe
"Funk Machine, Taku-Hero",Something 
"Declain, Elle Vee",EYES SHUT
Lika Morgan,Go with the Flow 
"Asketa & Natan Chaim, musicbyLukas",Fall 4 U
"tyDi, Dia Frampton, A-lex",Closing In (Remix)
J. Cole,Immortal
J. Cole,"1985 - Intro to ""The Fall Off"""
"Aiobahn, Vin, Dennis van Cocos",If We Never (Remix)
"Gryffin, ZOHARA",Remember 
Zookeper ,From Me
"Migos, Lil Uzi Vert",Bad and Boujee
"Boehm, Laurell",Outside Of The Lines
"Ryos, Sara Skinner",Only You
3rd Prototype,I Know
"Aero Chord, Nevve",Shadows
"TwoWorldsApart, Jordi Rivera, Raquel Castro",Bodies
"Adam Pearce, Kalide, Bianca",Ruin My Life
Flux Pavillion,Pull the Trigger
"Noah Neiman, Culture Code, Jay Bombay, Laci Kay",Long Way Home (Remix)
"Chief Keef, Gucci Mane",Semi On Em
"FAIS, Chasner",Make Me Do (Remix)
"Codeko, Alex Winston",Just Got Something
"Echosmith, Moti",Over My Head (Remix)
Blueface,Thotiana
"Alicia Madison, No Class",Toxic Rain (Remix)
Lost Stories,Faking It
"Justin Prime, NIVIRO, Kimberly Fransens ",Unstoppable
"Mike Parr, Leeah, COE",Turn It Up (Remix)
GAB,One Night
"Brett Miller, Veck",Eye to Eye (Remix)
"Tigerlily, Noah Neiman",Ashes To Ashes (Remix)
Third Party,Midnight 
"Win and Woo, Bryce Fox, SHADES",Chicago (Remix)
PATAY,Haunted
"Miles Away, Amanda Yang",Firefly
